"","No.","Time","Source","Destination","Protocol","Length","Info"
"149182",149182,413.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149183",149183,413.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149184",149184,413.33,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149185",149185,413.33,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149186",149186,413.33,"192.168.214.1","224.0.0.10","EIGRP",78,"Hello"
"149187",149187,413.33,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149188",149188,413.33,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149189",149189,413.34,"fe80::216:47ff:fe9d:f2c3","ff02::1","ICMPv6",122,"Router Advertisement from 00:16:47:9d:f2:c3"
"149190",149190,413.35,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149191",149191,413.36,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149192",149192,413.37,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149193",149193,413.4,"192.168.208.1","224.0.0.10","EIGRP",78,"Hello"
"149194",149194,413.45,"192.168.206.1","224.0.0.10","EIGRP",78,"Hello"
